open,high,low,close,adjClose,volume,Date
0.15,0.3,0.26,0.23,0.16,1666,2022-02-13
0.15,0.1,0.19,0.15,0.2,1658,2023-10-01
0.05,0.17,0.32,0.19,0.27,1383,2021-01-01
0.07,0.33,0.07,0.29,0.06,1107,2021-06-30
0.34,0.27,0.06,0.23,0.21,1412,2024-03-09
0.11,0.16,0.29,0.24,0.12,1164,2023-05-14
0.35,0.28,0.08,0.16,0.24,1152,2023-01-29
0.21,0.06,0.29,0.23,0.27,1314,2025-04-04
0.1,0.23,0.3,0.06,0.05,1771,2024-12-06
0.14,0.31,0.16,0.28,0.11,1806,2022-12-20
0.25,0.21,0.12,0.14,0.33,1269,2024-04-19
0.3,0.05,0.1,0.25,0.35,1411,2021-02-15
0.19,0.13,0.14,0.15,0.16,1701,2025-01-24
0.34,0.14,0.07,0.13,0.24,1650,2024-02-29
0.35,0.09,0.07,0.08,0.07,1534,2020-09-01
0.15,0.15,0.15,0.13,0.3,1816,2023-10-06
0.09,0.15,0.21,0.24,0.29,1990,2020-12-03
0.28,0.08,0.19,0.34,0.26,1199,2023-11-25
0.25,0.12,0.1,0.2,0.32,1490,2020-10-01
0.19,0.12,0.09,0.32,0.23,1602,2024-04-07
0.3,0.11,0.33,0.29,0.26,1878,2021-11-30
0.33,0.32,0.23,0.07,0.23,1584,2022-08-30
0.22,0.25,0.18,0.26,0.19,1808,2023-06-08
0.11,0.18,0.08,0.12,0.26,1866,2024-10-27
0.28,0.3,0.27,0.34,0.34,1419,2020-09-30
0.1,0.3,0.1,0.14,0.3,1344,2025-11-13
0.34,0.11,0.08,0.21,0.25,1848,2025-02-25
0.1,0.31,0.11,0.08,0.17,1751,2024-12-07
0.08,0.35,0.34,0.21,0.24,1559,2024-06-20
0.19,0.26,0.22,0.19,0.18,1244,2023-10-31
0.32,0.18,0.14,0.1,0.17,1374,2021-02-04
0.31,0.29,0.12,0.1,0.25,1135,2022-06-02
0.27,0.35,0.25,0.22,0.2,1944,2025-11-23
0.32,0.32,0.11,0.11,0.28,1312,2023-05-31
0.18,0.11,0.18,0.21,0.18,1537,2025-09-19
0.11,0.21,0.3,0.34,0.14,1231,2021-11-11
0.17,0.09,0.27,0.24,0.06,1497,2024-05-06
0.28,0.3,0.2,0.26,0.11,1854,2025-12-31
0.12,0.21,0.31,0.06,0.31,1506,2022-04-14
0.15,0.21,0.1,0.27,0.24,1689,2021-04-17
0.09,0.28,0.24,0.15,0.08,1296,2021-02-03
0.12,0.24,0.1,0.22,0.13,1203,2025-09-25
0.18,0.1,0.08,0.33,0.14,1021,2021-12-25
0.25,0.12,0.07,0.11,0.25,1386,2025-07-29
0.14,0.26,0.28,0.26,0.23,1216,2023-05-30
0.27,0.32,0.31,0.28,0.25,1430,2022-07-16
0.33,0.24,0.13,0.12,0.2,1117,2022-11-07
0.33,0.3,0.06,0.34,0.18,1760,2024-07-19
0.13,0.18,0.18,0.29,0.27,1892,2025-02-18
0.28,0.34,0.17,0.21,0.18,1736,2022-02-23
0.31,0.23,0.22,0.3,0.23,1525,2022-06-15
0.19,0.28,0.11,0.24,0.11,1977,2023-01-03
0.1,0.12,0.27,0.25,0.08,1038,2020-09-08
0.24,0.05,0.31,0.17,0.34,1506,2025-03-25
0.12,0.34,0.23,0.31,0.13,1320,2021-11-03
0.09,0.23,0.23,0.24,0.08,1460,2024-08-23
0.22,0.06,0.06,0.26,0.22,1972,2025-05-22
0.24,0.15,0.18,0.12,0.31,1017,2022-04-04
0.18,0.32,0.35,0.21,0.26,1920,2024-12-10
0.08,0.24,0.19,0.19,0.19,1348,2023-06-16
0.06,0.34,0.28,0.17,0.31,1048,2024-02-22
0.11,0.2,0.34,0.2,0.21,1191,2025-05-08
0.21,0.33,0.2,0.2,0.16,1038,2023-03-14
0.11,0.11,0.22,0.22,0.19,1285,2025-07-07
0.05,0.25,0.24,0.05,0.1,1499,2024-03-05
0.26,0.15,0.17,0.27,0.06,1757,2023-05-17
0.05,0.17,0.24,0.32,0.28,1163,2025-07-21
0.11,0.19,0.32,0.27,0.14,1904,2023-11-28
0.18,0.08,0.3,0.23,0.21,1848,2022-09-13
0.12,0.22,0.24,0.17,0.17,1023,2021-10-10
0.09,0.2,0.33,0.12,0.16,1727,2020-08-13
0.09,0.16,0.2,0.12,0.3,1348,2021-05-13
0.25,0.3,0.31,0.25,0.33,1492,2025-05-11
0.31,0.17,0.05,0.09,0.16,1494,2021-10-17
0.21,0.05,0.15,0.18,0.23,1473,2023-03-13
0.19,0.32,0.29,0.17,0.13,1699,2022-10-03
0.12,0.32,0.27,0.1,0.1,1315,2020-09-12
0.31,0.12,0.21,0.1,0.26,1179,2023-08-31
0.34,0.35,0.26,0.18,0.16,1595,2020-09-14
0.35,0.08,0.1,0.25,0.34,1546,2026-01-20
0.34,0.27,0.09,0.11,0.12,1885,2022-12-05
0.06,0.18,0.13,0.09,0.26,1969,2021-10-06
0.2,0.24,0.25,0.34,0.17,1292,2021-03-03
0.24,0.16,0.24,0.19,0.08,1580,2024-06-01
0.24,0.16,0.21,0.34,0.14,1839,2025-04-28
0.06,0.23,0.14,0.3,0.26,1207,2024-10-10
0.17,0.31,0.32,0.09,0.31,1015,2025-10-28
0.11,0.25,0.21,0.11,0.32,1638,2023-06-21
0.2,0.21,0.28,0.13,0.16,1836,2022-08-27
0.22,0.2,0.15,0.23,0.08,1072,2022-12-26
0.11,0.13,0.24,0.09,0.19,1897,2021-06-07
0.32,0.1,0.22,0.3,0.27,1936,2024-03-15
0.17,0.3,0.11,0.3,0.07,1334,2024-07-12
0.32,0.13,0.33,0.2,0.15,1702,2021-10-09
0.12,0.12,0.29,0.15,0.13,1180,2023-05-24
0.22,0.09,0.3,0.11,0.31,1746,2021-02-19
0.13,0.14,0.19,0.1,0.15,1272,2022-01-05
0.31,0.22,0.27,0.21,0.31,1902,2023-11-15
0.27,0.1,0.15,0.19,0.07,1508,2020-10-25
0.12,0.34,0.15,0.1,0.11,1629,2026-01-09
0.06,0.18,0.14,0.24,0.27,1833,2024-08-26
0.08,0.34,0.18,0.31,0.22,1241,2022-12-11
0.2,0.13,0.22,0.1,0.29,1934,2025-09-11
0.3,0.3,0.1,0.3,0.18,1901,2021-03-08
0.25,0.23,0.15,0.08,0.3,1479,2021-09-23
0.13,0.29,0.24,0.2,0.12,1642,2021-11-18
0.34,0.15,0.11,0.27,0.16,1828,2020-11-18
0.12,0.07,0.23,0.18,0.19,1644,2024-11-30
0.3,0.27,0.16,0.1,0.17,1820,2025-09-29
0.33,0.29,0.17,0.3,0.22,1470,2025-03-10
0.28,0.13,0.17,0.13,0.12,1227,2020-10-24
0.28,0.32,0.14,0.17,0.24,1748,2025-11-09
0.11,0.15,0.26,0.32,0.16,1939,2022-03-02
0.06,0.14,0.12,0.24,0.1,1865,2021-07-17
0.32,0.31,0.34,0.28,0.34,1823,2022-09-18
0.27,0.23,0.24,0.33,0.33,1392,2022-04-20
0.07,0.27,0.23,0.25,0.11,1915,2023-07-10
0.35,0.08,0.25,0.31,0.2,1914,2023-02-23
0.14,0.08,0.25,0.05,0.08,1290,2020-12-19
0.07,0.2,0.33,0.31,0.29,1495,2024-02-23
0.32,0.21,0.22,0.12,0.1,1339,2022-05-15
0.09,0.17,0.28,0.16,0.08,1777,2025-11-06
0.17,0.34,0.14,0.16,0.29,1798,2024-03-27
0.09,0.27,0.23,0.24,0.2,1600,2024-06-16
0.25,0.1,0.12,0.17,0.32,1289,2021-06-30
0.21,0.1,0.12,0.31,0.2,1794,2024-01-15
0.21,0.17,0.2,0.25,0.22,1806,2021-10-05
0.06,0.1,0.25,0.09,0.23,1893,2025-05-10
0.25,0.27,0.29,0.19,0.05,1293,2024-03-21
0.28,0.17,0.29,0.3,0.15,1355,2024-04-08
0.28,0.18,0.32,0.25,0.2,1656,2023-05-07
0.17,0.06,0.28,0.14,0.1,1001,2023-09-17
0.05,0.21,0.17,0.13,0.13,1746,2020-10-05
0.35,0.3,0.24,0.33,0.34,1398,2021-06-22
0.2,0.13,0.13,0.2,0.08,1076,2024-03-16
0.35,0.19,0.23,0.2,0.32,1432,2025-05-16
0.06,0.31,0.15,0.22,0.18,1375,2021-05-15
0.26,0.18,0.11,0.24,0.07,1840,2020-11-23
0.34,0.35,0.31,0.18,0.19,1224,2020-12-18
0.06,0.18,0.32,0.24,0.07,1068,2021-06-20
0.24,0.26,0.16,0.3,0.19,1786,2021-07-03
0.27,0.1,0.07,0.3,0.19,1683,2020-09-10
0.05,0.22,0.35,0.17,0.16,1469,2020-08-07
0.18,0.14,0.33,0.06,0.16,1226,2024-03-21
0.09,0.19,0.28,0.22,0.08,1424,2022-07-24
0.25,0.09,0.35,0.28,0.1,1548,2022-04-28
0.26,0.2,0.06,0.08,0.23,1226,2024-05-07
0.07,0.33,0.29,0.2,0.09,1739,2023-06-02
0.27,0.24,0.12,0.24,0.14,1135,2025-11-09
0.14,0.32,0.32,0.09,0.33,1829,2022-09-25
0.08,0.2,0.21,0.22,0.25,1409,2020-12-13
0.33,0.32,0.16,0.21,0.12,1622,2021-01-29
0.32,0.14,0.06,0.28,0.22,1025,2021-02-04
0.19,0.19,0.12,0.1,0.15,1209,2023-09-25
0.11,0.3,0.17,0.08,0.06,1741,2022-03-09
0.2,0.09,0.27,0.13,0.24,1962,2021-10-13
0.14,0.16,0.14,0.1,0.14,1096,2020-12-11
0.17,0.27,0.25,0.3,0.32,1974,2025-06-14
0.24,0.34,0.31,0.25,0.33,1194,2021-12-19
0.12,0.31,0.26,0.15,0.11,1580,2023-01-02
0.08,0.07,0.25,0.07,0.23,1769,2025-01-15
0.22,0.09,0.33,0.26,0.28,1830,2023-01-03
0.27,0.24,0.28,0.22,0.33,1578,2020-12-25
0.08,0.07,0.08,0.29,0.35,1989,2023-10-27
0.28,0.18,0.27,0.2,0.25,1598,2021-01-01
0.27,0.15,0.18,0.23,0.29,1907,2021-05-13
0.22,0.25,0.27,0.18,0.22,1992,2024-05-03
0.16,0.07,0.19,0.11,0.29,1756,2020-09-22
0.3,0.32,0.15,0.23,0.18,1028,2024-08-10
0.09,0.27,0.31,0.12,0.28,1395,2025-08-12
0.07,0.29,0.13,0.23,0.32,1500,2022-08-07
0.29,0.19,0.32,0.27,0.29,1345,2021-03-29
0.22,0.19,0.29,0.16,0.11,1494,2022-01-22
0.13,0.07,0.07,0.13,0.06,1124,2020-09-01
0.25,0.25,0.23,0.06,0.24,1150,2023-12-31
0.14,0.16,0.19,0.1,0.11,1460,2024-04-30
0.1,0.28,0.29,0.25,0.17,1648,2020-09-13
0.19,0.13,0.32,0.28,0.11,1246,2023-04-09
0.14,0.22,0.11,0.32,0.24,1327,2022-03-06
0.16,0.32,0.32,0.11,0.22,1376,2025-06-17
0.1,0.08,0.31,0.25,0.34,1303,2023-04-12
0.33,0.31,0.28,0.27,0.14,1638,2020-10-18
0.2,0.31,0.29,0.2,0.25,1781,2025-08-18
0.34,0.31,0.32,0.34,0.14,1236,2022-02-18
0.3,0.31,0.06,0.26,0.32,1767,2024-10-05
0.06,0.16,0.15,0.31,0.08,1286,2021-09-27
0.3,0.13,0.18,0.17,0.11,1834,2023-05-22
0.23,0.12,0.12,0.09,0.29,1781,2024-04-28
0.05,0.28,0.24,0.1,0.11,1717,2026-01-10
0.29,0.16,0.08,0.16,0.3,1501,2023-02-06
0.32,0.3,0.27,0.33,0.07,1243,2021-10-26
0.27,0.22,0.23,0.34,0.34,1229,2024-04-10
0.28,0.3,0.3,0.21,0.31,1933,2024-10-21
0.29,0.28,0.15,0.28,0.17,1676,2024-01-23
0.26,0.22,0.06,0.27,0.06,1180,2024-07-09
0.27,0.33,0.32,0.18,0.25,1682,2021-06-19
0.08,0.08,0.21,0.17,0.25,1603,2022-01-02
0.32,0.15,0.16,0.32,0.05,1835,2021-09-07
0.12,0.12,0.13,0.08,0.16,1905,2024-02-19
0.23,0.11,0.23,0.32,0.33,1816,2025-05-26
0.22,0.07,0.11,0.22,0.1,1409,2023-10-26
0.06,0.28,0.34,0.06,0.25,1256,2023-11-18
0.15,0.1,0.27,0.27,0.27,1866,2025-02-23
0.16,0.3,0.17,0.26,0.35,1928,2022-11-21
0.21,0.07,0.2,0.3,0.31,1621,2021-05-04
0.09,0.05,0.26,0.15,0.06,1314,2024-12-08
0.19,0.18,0.33,0.12,0.25,1524,2021-03-07
0.3,0.12,0.13,0.27,0.2,1692,2024-07-23
0.11,0.29,0.35,0.08,0.29,1604,2020-08-18
0.09,0.33,0.23,0.1,0.09,1747,2021-02-20
0.13,0.11,0.09,0.29,0.18,1776,2024-11-15
0.33,0.17,0.2,0.28,0.17,1202,2022-09-01
0.23,0.13,0.18,0.15,0.32,1234,2022-06-06
0.24,0.14,0.24,0.27,0.25,1634,2021-12-15
0.21,0.3,0.3,0.16,0.27,1844,2024-09-16
0.05,0.2,0.2,0.24,0.18,1272,2025-07-06
0.26,0.31,0.06,0.23,0.28,1505,2021-05-01
0.3,0.1,0.22,0.29,0.34,1269,2024-01-06
0.13,0.17,0.25,0.18,0.18,1716,2022-09-23
0.06,0.1,0.21,0.34,0.15,1119,2021-03-11
0.35,0.22,0.19,0.1,0.06,1198,2024-02-22
0.17,0.14,0.11,0.29,0.26,1857,2022-11-28
0.31,0.09,0.23,0.19,0.28,1882,2025-06-03
0.09,0.29,0.15,0.17,0.1,1950,2025-02-20
0.33,0.29,0.06,0.21,0.11,1430,2023-01-11
0.31,0.17,0.24,0.25,0.25,1982,2025-08-01
0.23,0.27,0.17,0.11,0.34,1455,2021-11-09
0.05,0.18,0.24,0.06,0.31,1764,2023-07-07
0.34,0.13,0.27,0.23,0.1,1600,2024-04-30
0.09,0.27,0.12,0.28,0.32,1983,2023-01-31
0.3,0.16,0.09,0.13,0.07,1574,2020-10-05
0.29,0.35,0.34,0.32,0.17,1174,2020-10-01
0.28,0.32,0.08,0.29,0.29,1747,2021-10-24
0.09,0.16,0.15,0.07,0.11,1940,2024-01-23
0.13,0.09,0.23,0.18,0.32,1193,2025-04-18
0.14,0.31,0.1,0.1,0.3,1484,2026-01-07
0.21,0.16,0.17,0.1,0.22,1919,2022-03-07
0.16,0.17,0.2,0.24,0.15,1827,2025-06-30
0.13,0.3,0.29,0.16,0.3,1962,2022-11-25
0.23,0.34,0.25,0.07,0.33,1851,2023-01-17
0.17,0.33,0.07,0.06,0.06,1918,2020-10-05
0.09,0.13,0.18,0.2,0.21,1394,2024-08-09
0.12,0.23,0.31,0.08,0.1,1220,2020-09-06
0.25,0.22,0.3,0.29,0.09,1275,2023-10-06
0.33,0.34,0.3,0.11,0.22,1462,2023-11-01
0.1,0.33,0.33,0.09,0.12,1141,2025-05-07
0.26,0.16,0.05,0.26,0.28,1989,2025-12-24
0.23,0.27,0.3,0.19,0.19,1969,2022-08-22
0.18,0.3,0.25,0.3,0.1,1973,2024-11-12
0.35,0.19,0.27,0.16,0.07,1492,2022-05-17
0.22,0.17,0.15,0.21,0.15,1045,2020-08-16
0.11,0.31,0.2,0.16,0.14,1136,2022-10-18
0.33,0.2,0.24,0.23,0.21,1371,2020-12-19
0.23,0.23,0.1,0.13,0.26,1994,2025-12-27
0.07,0.32,0.09,0.16,0.08,1922,2025-12-25
0.15,0.34,0.1,0.32,0.29,1353,2020-11-08
0.11,0.13,0.11,0.34,0.06,1881,2020-11-14
0.34,0.08,0.15,0.23,0.1,1537,2025-10-20
0.15,0.16,0.31,0.25,0.24,1963,2021-02-08
0.27,0.26,0.15,0.22,0.12,1142,2020-12-20
0.08,0.19,0.22,0.19,0.28,1230,2023-05-18
0.35,0.18,0.28,0.16,0.32,1875,2023-07-04
0.32,0.08,0.09,0.15,0.2,1931,2023-11-14
0.06,0.16,0.32,0.25,0.14,1846,2025-05-16
0.23,0.24,0.35,0.28,0.31,1193,2020-12-13
0.31,0.26,0.08,0.2,0.1,1290,2024-07-11
0.31,0.05,0.05,0.15,0.32,1257,2026-01-11
0.16,0.33,0.07,0.15,0.3,1510,2022-12-23
0.27,0.2,0.32,0.24,0.23,1159,2023-06-07
0.08,0.07,0.05,0.26,0.14,1597,2021-09-26
0.23,0.11,0.16,0.19,0.2,1322,2025-07-19
0.33,0.3,0.26,0.22,0.26,1465,2021-09-29
0.33,0.17,0.29,0.27,0.13,1219,2023-03-22
0.15,0.31,0.27,0.28,0.25,1408,2021-04-11
0.12,0.11,0.27,0.35,0.28,1348,2022-07-05
0.22,0.09,0.06,0.05,0.15,1815,2022-03-10
0.08,0.11,0.1,0.29,0.16,1298,2025-12-30
0.2,0.16,0.28,0.09,0.06,1078,2020-08-29
0.18,0.31,0.31,0.27,0.18,1197,2025-08-15
0.27,0.16,0.3,0.31,0.28,1730,2020-09-29
0.08,0.26,0.22,0.32,0.06,1941,2023-03-04
0.32,0.18,0.17,0.21,0.21,1132,2023-10-15
0.1,0.14,0.12,0.15,0.23,1122,2025-02-24
0.24,0.11,0.3,0.23,0.11,1597,2024-11-09
0.34,0.15,0.21,0.09,0.24,1466,2025-08-18
0.11,0.2,0.35,0.08,0.3,1968,2020-11-29
0.08,0.21,0.24,0.3,0.21,1948,2023-05-28
0.17,0.11,0.24,0.17,0.34,1488,2024-12-06
0.2,0.21,0.33,0.28,0.15,1446,2023-08-18
0.17,0.18,0.11,0.08,0.05,1615,2022-12-12
0.21,0.27,0.28,0.29,0.24,1761,2020-11-12
0.34,0.09,0.07,0.22,0.18,1023,2021-12-13
0.17,0.06,0.14,0.14,0.25,1671,2021-08-06
0.29,0.26,0.08,0.2,0.26,1909,2024-05-25
0.31,0.27,0.19,0.25,0.16,1474,2025-08-18
0.14,0.3,0.21,0.3,0.05,1783,2022-12-23
0.11,0.34,0.15,0.32,0.28,1472,2023-03-13
0.18,0.08,0.16,0.33,0.27,1490,2022-10-24
0.32,0.29,0.12,0.18,0.21,1222,2023-02-26
0.12,0.15,0.26,0.15,0.32,1634,2024-06-18
0.2,0.2,0.05,0.09,0.32,1060,2025-11-08
0.17,0.29,0.17,0.12,0.35,1449,2021-07-16
0.34,0.12,0.1,0.19,0.08,1471,2025-08-24
0.35,0.23,0.21,0.11,0.18,1434,2021-02-11
0.33,0.28,0.21,0.07,0.14,1325,2025-02-01
0.31,0.12,0.19,0.14,0.24,1262,2022-01-13
0.29,0.14,0.09,0.23,0.25,1273,2022-05-23
0.22,0.18,0.24,0.24,0.07,1915,2025-12-30
0.24,0.09,0.33,0.22,0.25,1536,2021-10-02
0.07,0.15,0.27,0.28,0.21,1916,2021-05-23
0.34,0.26,0.17,0.29,0.1,1227,2022-06-29
0.29,0.29,0.12,0.29,0.24,1921,2021-07-10
0.31,0.24,0.34,0.28,0.13,1069,2024-08-28
0.22,0.35,0.13,0.14,0.15,1044,2024-12-07
0.33,0.11,0.29,0.27,0.23,1521,2023-04-22
0.22,0.31,0.07,0.1,0.14,1220,2025-02-22
0.13,0.32,0.07,0.34,0.15,1424,2021-10-25
0.09,0.15,0.06,0.17,0.29,1423,2024-06-06
0.33,0.18,0.08,0.33,0.2,1707,2023-01-04
0.29,0.1,0.26,0.28,0.16,1943,2021-02-07
0.08,0.14,0.15,0.34,0.31,1162,2022-02-21
0.14,0.28,0.25,0.07,0.29,1469,2025-08-18
0.19,0.24,0.34,0.18,0.17,1073,2023-02-20
0.07,0.09,0.23,0.14,0.33,1573,2023-12-14
0.12,0.19,0.29,0.34,0.34,1651,2023-05-05
0.32,0.22,0.1,0.21,0.22,1893,2023-04-18
0.05,0.1,0.29,0.25,0.34,1489,2020-09-23
0.32,0.3,0.29,0.15,0.35,1702,2025-07-06
0.09,0.17,0.3,0.31,0.2,1241,2023-08-19
0.15,0.12,0.08,0.26,0.28,1320,2020-08-29
0.13,0.15,0.16,0.21,0.3,1979,2022-05-26
0.27,0.31,0.2,0.27,0.32,1560,2024-02-20
0.25,0.32,0.14,0.33,0.08,1324,2021-11-06
0.16,0.33,0.07,0.12,0.25,1479,2021-12-15
0.09,0.28,0.05,0.29,0.11,1007,2021-02-22
0.22,0.07,0.2,0.14,0.2,1576,2020-12-18
0.25,0.17,0.25,0.32,0.16,1567,2022-02-01
0.29,0.14,0.11,0.34,0.13,1685,2024-02-25
0.16,0.32,0.22,0.05,0.23,1312,2026-01-19
0.09,0.16,0.05,0.14,0.11,1110,2024-09-30
0.33,0.22,0.25,0.27,0.23,1802,2025-06-10
0.07,0.27,0.08,0.22,0.33,1600,2024-04-02
0.16,0.09,0.22,0.25,0.32,1716,2024-02-13
0.09,0.2,0.28,0.33,0.23,1617,2023-04-26
0.17,0.19,0.34,0.27,0.17,1160,2020-09-12
0.29,0.13,0.05,0.25,0.18,1714,2021-05-28
0.25,0.11,0.1,0.2,0.24,1187,2023-07-24
0.17,0.11,0.29,0.14,0.32,1101,2023-11-03
0.23,0.13,0.32,0.31,0.29,1278,2025-10-08
0.35,0.1,0.32,0.2,0.15,2000,2022-10-30
0.24,0.1,0.18,0.09,0.21,1730,2022-04-14
0.11,0.17,0.19,0.2,0.34,1789,2021-06-08
0.12,0.11,0.31,0.11,0.29,1259,2025-09-13
0.28,0.19,0.3,0.26,0.1,1263,2025-03-09
0.09,0.34,0.07,0.18,0.18,1075,2025-07-03
0.27,0.15,0.06,0.17,0.16,1841,2024-10-26
0.23,0.13,0.31,0.16,0.06,1860,2025-03-16
0.08,0.16,0.22,0.21,0.13,1900,2025-01-26
0.06,0.23,0.11,0.15,0.32,1748,2022-08-03
0.2,0.23,0.23,0.07,0.34,1576,2022-06-04
0.24,0.3,0.18,0.32,0.14,1779,2021-10-13
0.33,0.21,0.05,0.21,0.28,1448,2024-01-04
0.31,0.16,0.18,0.22,0.35,1177,2023-08-10
0.32,0.14,0.3,0.06,0.25,1196,2022-04-24
0.21,0.1,0.06,0.06,0.26,1889,2024-02-11
0.3,0.18,0.19,0.28,0.16,1621,2021-02-16
0.17,0.31,0.2,0.21,0.24,1726,2021-12-13
0.09,0.15,0.06,0.35,0.05,1421,2023-09-14
0.08,0.19,0.32,0.3,0.19,1165,2023-06-12
0.26,0.2,0.22,0.14,0.16,1857,2021-11-19
0.28,0.24,0.28,0.28,0.22,1401,2025-06-26
0.2,0.17,0.31,0.21,0.3,1476,2023-07-29
